

PID 10034: 0.002937	PID 10037: 0.002956	PID 10038: 0.002945	PID 10040: 0.002220	PID 10036: 0.001924	PID 10039: 0.001966	PID 10035: 0.001925	PID 10031: 0.003514	PID 10032: 0.004046	PID 10033: 0.003949	

PID 10047: 0.002937	PID 10049: 0.002972	PID 10051: 0.002441	PID 10048: 0.002156	PID 10050: 0.001994	PID 10042: 0.003323	PID 10043: 0.004145	PID 10046: 0.003768	PID 10045: 0.004040	PID 10044: 0.004035	

PID 10056: 0.003102	PID 10058: 0.003118	PID 10061: 0.002730	PID 10060: 0.002075	PID 10059: 0.002068	PID 10062: 0.002072	PID 10057: 0.001780	PID 10053: 0.003026	PID 10054: 0.003983	PID 10055: 0.003772	

PID 10067: 0.003451	PID 10068: 0.003449	PID 10069: 0.003086	PID 10071: 0.002071	PID 10072: 0.002264	PID 10070: 0.002068	PID 10073: 0.002257	PID 10065: 0.003313	PID 10064: 0.003728	PID 10066: 0.004008	

PID 10078: 0.003451	PID 10079: 0.003262	PID 10081: 0.002939	PID 10083: 0.002061	PID 10084: 0.001926	PID 10080: 0.001925	PID 10082: 0.001936	PID 10075: 0.003162	PID 10076: 0.003937	PID 10077: 0.003951	

PID 10086: 0.004667	PID 10089: 0.003164	PID 10091: 0.002938	PID 10093: 0.002984	PID 10095: 0.002053	PID 10090: 0.002074	PID 10094: 0.001933	PID 10092: 0.002106	PID 10087: 0.001604	PID 10088: 0.004616	

PID 10102: 0.002936	PID 10104: 0.002973	PID 10106: 0.002286	PID 10103: 0.001925	PID 10105: 0.001938	PID 10097: 0.003024	PID 10098: 0.004038	PID 10100: 0.004021	PID 10099: 0.004068	PID 10101: 0.003637	

PID 10113: 0.003125	PID 10115: 0.002948	PID 10116: 0.002273	PID 10114: 0.002099	PID 10117: 0.002082	PID 10108: 0.001932	PID 10112: 0.003547	PID 10110: 0.004041	PID 10111: 0.004064	PID 10109: 0.004482	

PID 10122: 0.003102	PID 10124: 0.003100	PID 10126: 0.003126	PID 10128: 0.002074	PID 10125: 0.002066	PID 10127: 0.002074	PID 10123: 0.002109	PID 10119: 0.003006	PID 10120: 0.003879	PID 10121: 0.003916	

PID 10134: 0.002938	PID 10136: 0.002944	PID 10138: 0.002548	PID 10139: 0.002091	PID 10135: 0.001924	PID 10137: 0.002044	PID 10130: 0.003277	PID 10133: 0.003829	PID 10132: 0.004073	PID 10131: 0.003921	
