

PID 10577: 0.004651	PID 10576: 0.005011	PID 10578: 0.005116	PID 10579: 0.004975	PID 10585: 0.004493	PID 10581: 0.004842	PID 10583: 0.005138	PID 10587: 0.004696	PID 10582: 0.005040	PID 10584: 0.005065	PID 10580: 0.005216	PID 10586: 0.005069	PID 10588: 0.005057	PID 10590: 0.005204	PID 10589: 0.004866	PID 10593: 0.005013	PID 10594: 0.004942	PID 10592: 0.004992	PID 10595: 0.004342	PID 10591: 0.004937	

PID 10615: 0.005033	PID 10624: 0.004490	PID 10616: 0.004812	PID 10620: 0.004925	PID 10617: 0.005111	PID 10619: 0.005233	PID 10623: 0.004936	PID 10618: 0.005097	PID 10626: 0.004787	PID 10621: 0.004869	PID 10629: 0.005190	PID 10627: 0.005263	PID 10628: 0.005074	PID 10625: 0.005060	PID 10630: 0.004918	PID 10634: 0.004538	PID 10633: 0.004920	PID 10622: 0.005113	PID 10632: 0.005212	PID 10631: 0.004855	

PID 10636: 0.004999	PID 10640: 0.005020	PID 10641: 0.005135	PID 10642: 0.005085	PID 10638: 0.004862	PID 10643: 0.005140	PID 10639: 0.005179	PID 10637: 0.004733	PID 10644: 0.005081	PID 10645: 0.004840	PID 10646: 0.005065	PID 10649: 0.005141	PID 10650: 0.005097	PID 10651: 0.005214	PID 10652: 0.005166	PID 10655: 0.004845	PID 10654: 0.005128	PID 10653: 0.005170	PID 10647: 0.004709	PID 10648: 0.004885	

PID 10658: 0.004488	PID 10657: 0.004924	PID 10660: 0.004752	PID 10659: 0.005083	PID 10663: 0.004908	PID 10662: 0.005024	PID 10661: 0.005114	PID 10664: 0.005124	PID 10665: 0.005095	PID 10666: 0.004796	PID 10669: 0.005035	PID 10667: 0.005001	PID 10671: 0.005150	PID 10672: 0.005005	PID 10668: 0.004499	PID 10676: 0.004768	PID 10674: 0.005104	PID 10673: 0.004950	PID 10675: 0.005083	PID 10670: 0.004899	

PID 10679: 0.004613	PID 10678: 0.005082	PID 10680: 0.005116	PID 10687: 0.004740	PID 10682: 0.004956	PID 10685: 0.005217	PID 10681: 0.005162	PID 10691: 0.005144	PID 10690: 0.005101	PID 10689: 0.004614	PID 10683: 0.005508	PID 10697: 0.004750	PID 10688: 0.005132	PID 10694: 0.005319	PID 10693: 0.005403	PID 10686: 0.005133	PID 10695: 0.005190	PID 10696: 0.005122	PID 10684: 0.005242	PID 10692: 0.005069	

PID 10701: 0.004986	PID 10702: 0.004962	PID 10699: 0.005075	PID 10704: 0.005085	PID 10705: 0.005100	PID 10706: 0.005057	PID 10708: 0.004569	PID 10710: 0.004905	PID 10703: 0.004985	PID 10707: 0.005159	PID 10700: 0.004920	PID 10714: 0.005106	PID 10715: 0.005131	PID 10709: 0.005177	PID 10718: 0.004624	PID 10716: 0.004971	PID 10711: 0.004945	PID 10712: 0.005000	PID 10717: 0.005205	PID 10713: 0.005059	

PID 10720: 0.004886	PID 10721: 0.004595	PID 10723: 0.004926	PID 10725: 0.004992	PID 10722: 0.005202	PID 10724: 0.005118	PID 10729: 0.004669	PID 10732: 0.005182	PID 10726: 0.005071	PID 10727: 0.005126	PID 10731: 0.004662	PID 10728: 0.005183	PID 10734: 0.005100	PID 10739: 0.004662	PID 10730: 0.004901	PID 10737: 0.005154	PID 10735: 0.005006	PID 10738: 0.005239	PID 10733: 0.005016	PID 10736: 0.005145	

PID 10742: 0.004629	PID 10741: 0.005077	PID 10743: 0.005120	PID 10746: 0.004971	PID 10745: 0.005016	PID 10744: 0.005049	PID 10750: 0.004591	PID 10752: 0.004701	PID 10747: 0.005207	PID 10749: 0.005009	PID 10748: 0.004992	PID 10751: 0.005173	PID 10753: 0.005158	PID 10754: 0.005051	PID 10757: 0.005170	PID 10756: 0.005036	PID 10759: 0.004958	PID 10758: 0.004995	PID 10755: 0.005095	PID 10760: 0.004618	

PID 10762: 0.004850	PID 10764: 0.005044	PID 10766: 0.005091	PID 10771: 0.004523	PID 10769: 0.004946	PID 10767: 0.005119	PID 10768: 0.005145	PID 10765: 0.005035	PID 10770: 0.005074	PID 10763: 0.004965	PID 10773: 0.005001	PID 10776: 0.005072	PID 10777: 0.005160	PID 10778: 0.005176	PID 10774: 0.005032	PID 10772: 0.004911	PID 10781: 0.004570	PID 10779: 0.004937	PID 10775: 0.005077	PID 10780: 0.005123	

PID 10784: 0.004684	PID 10783: 0.005032	PID 10785: 0.004893	PID 10787: 0.004875	PID 10788: 0.005054	PID 10789: 0.004991	PID 10791: 0.004981	PID 10794: 0.004696	PID 10792: 0.004547	PID 10790: 0.005152	PID 10786: 0.005108	PID 10793: 0.005137	PID 10798: 0.005015	PID 10795: 0.004895	PID 10800: 0.005208	PID 10801: 0.004922	PID 10797: 0.004895	PID 10799: 0.005060	PID 10796: 0.005100	PID 10802: 0.004596	
