

PID 8672: 0.006123	PID 8677: 0.006290	PID 8678: 0.005890	PID 8680: 0.005484	PID 8673: 0.006671	PID 8675: 0.006706	PID 8674: 0.006673	PID 8681: 0.004469	PID 8676: 0.006189	PID 8679: 0.005529	

PID 8685: 0.006693	PID 8690: 0.005853	PID 8689: 0.006196	PID 8686: 0.006638	PID 8692: 0.005433	PID 8691: 0.006192	PID 8693: 0.005396	PID 8688: 0.006669	PID 8687: 0.006684	PID 8684: 0.004408	

PID 8701: 0.004937	PID 8703: 0.004374	PID 8700: 0.005856	PID 8698: 0.006532	PID 8704: 0.004888	PID 8696: 0.006651	PID 8697: 0.006522	PID 8702: 0.005898	PID 8699: 0.006135	PID 8695: 0.007316	

PID 8706: 0.006725	PID 8709: 0.006325	PID 8715: 0.004677	PID 8713: 0.005621	PID 8708: 0.006654	PID 8710: 0.006292	PID 8711: 0.006183	PID 8714: 0.004448	PID 8712: 0.005567	PID 8707: 0.006663	

PID 8718: 0.006819	PID 8722: 0.006519	PID 8723: 0.006361	PID 8725: 0.005453	PID 8726: 0.005456	PID 8724: 0.006069	PID 8721: 0.008296	PID 8720: 0.006720	PID 8719: 0.006713	PID 8717: 0.004819	

PID 8728: 0.006228	PID 8733: 0.005486	PID 8737: 0.004869	PID 8731: 0.006449	PID 8730: 0.006527	PID 8734: 0.005856	PID 8736: 0.004874	PID 8735: 0.005859	PID 8729: 0.006683	PID 8732: 0.006400	

PID 8739: 0.006596	PID 8747: 0.004948	PID 8741: 0.006668	PID 8743: 0.006333	PID 8745: 0.005475	PID 8744: 0.006274	PID 8742: 0.006371	PID 8748: 0.004279	PID 8746: 0.005456	PID 8740: 0.004396	

PID 8755: 0.006273	PID 8752: 0.006784	PID 8757: 0.005369	PID 8758: 0.004752	PID 8756: 0.005410	PID 8754: 0.006224	PID 8759: 0.004212	PID 8753: 0.006251	PID 8751: 0.006690	PID 8750: 0.008213	

PID 8761: 0.006571	PID 8762: 0.006739	PID 8768: 0.005491	PID 8765: 0.006245	PID 8763: 0.006723	PID 8770: 0.005071	PID 8767: 0.004278	PID 8769: 0.005578	PID 8764: 0.006479	PID 8766: 0.007808	

PID 8780: 0.004208	PID 8779: 0.005442	PID 8777: 0.005660	PID 8773: 0.006657	PID 8776: 0.006248	PID 8774: 0.008281	PID 8778: 0.006247	PID 8775: 0.006465	PID 8781: 0.005016	PID 8772: 0.006574	
