

PID 8418: 0.007240	PID 8419: 0.005837	PID 8415: 0.007574	PID 8416: 0.009764	PID 8417: 0.008762	

PID 8424: 0.007533	PID 8425: 0.005355	PID 8421: 0.008581	PID 8423: 0.009130	PID 8422: 0.009304	

PID 8430: 0.006701	PID 8431: 0.004523	PID 8427: 0.009701	PID 8428: 0.009070	PID 8429: 0.008117	

PID 8436: 0.007222	PID 8437: 0.006099	PID 8433: 0.009346	PID 8434: 0.009639	PID 8435: 0.008488	

PID 8441: 0.006458	PID 8443: 0.005514	PID 8439: 0.009429	PID 8440: 0.009421	PID 8442: 0.008541	

PID 8455: 0.006697	PID 8451: 0.004936	PID 8453: 0.009745	PID 8454: 0.008093	PID 8452: 0.009083	

PID 8473: 0.007257	PID 8474: 0.005849	PID 8470: 0.008508	PID 8472: 0.008486	PID 8471: 0.009633	

PID 8479: 0.006700	PID 8480: 0.004523	PID 8476: 0.008938	PID 8477: 0.009023	PID 8478: 0.008158	

PID 8506: 0.006458	PID 8507: 0.005194	PID 8503: 0.009361	PID 8505: 0.008451	PID 8504: 0.009280	

PID 8512: 0.006695	PID 8513: 0.005117	PID 8509: 0.008966	PID 8510: 0.009311	PID 8511: 0.008420	
